CODIGO,ESTACION,same_as_wikidata_streets,ALTITUD,NO2,SO2,CO,PM10,PM2_5,O3,BTX,COD_VIA
28079004,Plaza de España,,637,true,true,true,false,false,false,false,273600
28079008,Escuelas Aguirre,,672,true,true,true,true,true,true,true,18900
28079011,"Avenida de Ramón y Cajal, Madrid",http://wikidata.org/entity/Q30467128,708,true,false,false,false,false,false,true,610450
28079016,calle de Arturo Soria,http://wikidata.org/entity/Q8255504,695,true,false,false,false,false,true,false,798700
28079017,Villaverde,,601,true,false,false,false,false,true,false,417200
28079018,Farolillo,,632,true,false,false,true,false,true,true,1903
28079024,Casa de Campo,,646,true,false,false,true,true,true,true,905219
28079027,Barajas Pueblo,,620,true,false,false,false,false,true,false,425700
28079035,Plaza del Carmen,,660,true,true,true,false,false,true,false,145800
28079036,Avenida de Moratalaz,http://wikidata.org/entity/Q104778384,671,true,true,false,true,false,false,false,522000
28079038,Cuatro Caminos,,699,true,false,false,true,true,false,true,554550
28079039,Barrio del Pilar,,676,true,false,false,false,false,true,false,514425
28079040,Vallecas,,677,true,false,false,true,false,false,false,75500
28079047,"Calle de Méndez Álvaro, Madrid",http://wikidata.org/entity/Q5553104,600,true,false,false,true,true,false,false,414800
28079048,Paseo de la Castellana,http://wikidata.org/entity/Q1473674,680,true,false,false,true,true,false,false,401400
28079049,Parque del Retiro,,662,true,false,false,false,false,true,false,905011
28079050,Plaza Castilla,,728,true,false,false,true,true,false,false,154500
28079054,Ensanche de Vallecas,,629,true,false,false,false,false,true,false,31000516
28079055,Urb. Embajada,,619,true,false,false,true,false,false,true,639250
28079056,Plaza Elíptica,,605,true,false,true,true,true,false,false,293200
28079057,Sanchinarro,,700,true,false,false,true,true,false,false,31000002
28079058,"Calle de Mira el Río, Madrid",http://wikidata.org/entity/Q56121016,612,true,false,false,false,false,true,false,348500
28079059,Juan Carlos I,,660,true,false,false,false,false,true,false,1111
28079060,Tres Olivos,,715,true,false,false,true,false,true,false,1427
